0,10
0.01,10
0.02,10.006
0.03,10.009
0.04,10.012
0.05,10.015
0.06,10.018
0.07,10.021
0.08,10.024
0.09,10.027
0.1,10.03
0.11,10.033
0.12,10.036
0.13,10.039
0.14,10.042
0.15,10.045
0.16,10.048
0.17,10.051
0.18,10.054
0.19,10.057
0.2,10.06
0.21,10.063
0.22,10.066
0.23,10.069
0.24,10.072
0.25,10.075
0.26,10.078
0.27,10.081
0.28,10.084
0.29,10.087
0.3,10.09
0.31,10.093
0.32,10.096
0.33,10.099
0.34,10.102
0.35,10.105
0.36,10.108
0.37,10.111
0.38,10.114
0.39,10.117
0.4,10.12
0.41,10.123
0.42,10.126
0.43,10.129
0.44,10.132
0.45,10.135
0.46,10.138
0.47,10.141
0.48,10.144
0.49,10.147
0.5,10.15
0.51,10.153
0.52,10.156
0.53,10.159
0.54,10.162
0.55,10.165
0.56,10.168
0.57,10.171
0.58,10.174
0.59,10.177
0.6,10.18
0.61,10.183
0.62,10.186
0.63,10.189
0.64,10.192
0.65,10.195
0.66,10.198
0.67,10.201
0.68,10.204
0.69,10.207
0.7,10.21
0.71,10.213
0.72,10.216
0.73,10.219
0.74,10.222
0.75,10.225
0.76,10.228
0.77,10.231
0.78,10.234
0.79,10.237
0.8,10.24
0.81,10.243
0.82,10.246
0.83,10.249
0.84,10.252
0.85,10.255
0.86,10.258
0.87,10.261
0.88,10.264
0.89,10.267
0.9,10.27
0.91,10.273
0.92,10.276
0.93,10.279
0.94,10.282
0.95,10.285
0.96,10.288
0.97,10.291
0.98,10.294
0.99,10.297
1,10.3
1.01,10.303
1.02,10.306
1.03,10.309
1.04,10.312
1.05,10.315
1.06,10.318
1.07,10.321
1.08,10.324
1.09,10.327
1.1,10.33
1.11,10.333
1.12,10.336
1.13,10.339
1.14,10.342
1.15,10.345
1.16,10.348
1.17,10.351
1.18,10.354
1.19,10.357
1.2,10.36
1.21,10.363
1.22,10.366
1.23,10.369
1.24,10.372
1.25,10.375
1.26,10.378
1.27,10.381
1.28,10.384
1.29,10.387
1.3,10.39
1.31,10.393
1.32,10.396
1.33,10.399
1.34,10.402
1.35,10.405
1.36,10.408
1.37,10.411
1.38,10.414
1.39,10.417
1.4,10.42
1.41,10.423
1.42,10.426
1.43,10.429
1.44,10.432
1.45,10.435
1.46,10.438
1.47,10.441
1.48,10.444
1.49,10.447
1.5,10.45
1.51,10.453
1.52,10.456
1.53,10.459
1.54,10.462
1.55,10.465
1.56,10.468
1.57,10.471
1.58,10.474
1.59,10.477
1.6,10.48
1.61,10.483
1.62,10.486
1.63,10.489
1.64,10.492
1.65,10.495
1.66,10.498
1.67,10.501
1.68,10.504
1.69,10.507
1.7,10.51
1.71,10.513
1.72,10.516
1.73,10.519
1.74,10.522
1.75,10.525
1.76,10.528
1.77,10.531
1.78,10.534
1.79,10.537
1.8,10.54
1.81,10.543
1.82,10.546
1.83,10.549
1.84,10.552
1.85,10.555
1.86,10.558
1.87,10.561
1.88,10.564
1.89,10.567
1.9,10.57
1.91,10.573
1.92,10.576
1.93,10.579
1.94,10.582
1.95,10.585
1.96,10.588
1.97,10.591
1.98,10.594
1.99,10.597
2,10.6
2.01,10.603
2.02,10.606
2.03,10.609
2.04,10.612
2.05,10.615
2.06,10.618
2.07,10.621
2.08,10.624
2.09,10.627
2.1,10.63
2.11,10.633
2.12,10.636
2.13,10.639
2.14,10.642
2.15,10.645
2.16,10.648
2.17,10.651
2.18,10.654
2.19,10.657
2.2,10.66
2.21,10.663
2.22,10.666
2.23,10.669
2.24,10.672
2.25,10.675
2.26,10.678
2.27,10.681
2.28,10.684
2.29,10.687
2.3,10.69
2.31,10.693
2.32,10.696
2.33,10.699
2.34,10.702
2.35,10.705
2.36,10.708
2.37,10.711
2.38,10.714
2.39,10.717
2.4,10.72
2.41,10.723
2.42,10.726
2.43,10.729
2.44,10.732
2.45,10.735
2.46,10.738
2.47,10.741
2.48,10.744
2.49,10.747
2.5,10.75
2.51,10.753
2.52,10.756
2.53,10.759
2.54,10.762
2.55,10.765
2.56,10.768
2.57,10.771
2.58,10.774
2.59,10.777
2.6,10.78
2.61,10.783
2.62,10.786
2.63,10.789
2.64,10.792
2.65,10.795
2.66,10.798
2.67,10.801
2.68,10.804
2.69,10.807
2.7,10.81
2.71,10.813
2.72,10.816
2.73,10.819
2.74,10.822
2.75,10.825
2.76,10.828
2.77,10.831
2.78,10.834
2.79,10.837
2.8,10.84
2.81,10.843
2.82,10.846
2.83,10.849
2.84,10.852
2.85,10.855
2.86,10.858
2.87,10.861
2.88,10.864
2.89,10.867
2.9,10.87
2.91,10.873
2.92,10.876
2.93,10.879
2.94,10.882
2.95,10.885
2.96,10.888
2.97,10.891
2.98,10.894
2.99,10.897
3,10.9
3.01,10.903
3.02,10.906
3.03,10.909
3.04,10.912
3.05,10.915
3.06,10.918
3.07,10.921
3.08,10.924
3.09,10.927
3.1,10.93
3.11,10.933
3.12,10.936
3.13,10.939
3.14,10.942
3.15,10.945
3.16,10.948
3.17,10.951
3.18,10.954
3.19,10.957
3.2,10.96
3.21,10.963
3.22,10.966
3.23,10.969
3.24,10.972
3.25,10.975
3.26,10.978
3.27,10.981
3.28,10.984
3.29,10.987
3.3,10.99
3.31,10.993
3.32,10.996
3.33,10.999
3.34,11.002
3.35,11.005
3.36,11.008
3.37,11.011
3.38,11.014
3.39,11.017
3.4,11.02
3.41,11.023
3.42,11.026
3.43,11.029
3.44,11.032
3.45,11.035
3.46,11.038
3.47,11.041
3.48,11.044
3.49,11.047
3.5,11.05
